ID,MEDV
0,23.740177
1,24.965301
2,15.885799
3,19.867157
4,22.305968
5,22.441834
6,18.885495
7,22.351996
8,33.832494
9,18.580058
10,25.394078
11,22.002847
12,20.519721
13,18.287371
14,20.206750
15,26.900084
16,17.421796
17,24.600769
18,19.230840
19,21.599650
20,25.665435
21,36.770754
22,23.489067
23,9.515014
24,14.221548
25,8.461468
26,16.979057
27,20.167888
28,23.724827
29,15.428207
30,36.995608
31,18.994240
32,18.469880
33,18.727337
34,26.597581
35,20.090569
36,30.603408
37,30.635862
38,39.033423
39,25.208202
40,19.175599
41,31.303049
42,24.668285
43,17.702586
44,21.455916
45,26.354179
46,20.162551
47,24.209197
48,14.817101
49,13.785223
50,19.689694
51,34.161383
52,24.645271
53,-4.147579
54,12.808565
55,16.511943
56,20.383068
57,12.696268
58,10.635024
59,18.413395
60,19.989372
61,20.471389
62,32.630627
63,24.306028
64,35.858980
65,32.681428
66,15.678390
67,21.628264
68,25.327488
69,16.618578
70,19.620394
71,16.629604
72,28.552456
73,14.142089
74,20.774018
75,16.991821
76,20.085152
77,31.948887
78,17.094851
79,33.286476
80,32.658308
81,42.039253
82,28.351543
83,30.228711
84,18.092288
85,32.767470
86,16.746191
87,28.580246
88,16.087756
89,19.151122
90,15.456097
91,20.279080
92,14.579834
93,22.839705
94,20.094998
95,24.738351
96,35.873448
97,3.777771
98,14.257966
99,27.603071
100,24.369065
101,16.495151
102,27.568624
103,35.829224
104,11.123761
