ID,MEDV
0,23.755407
1,24.976062
2,15.905552
3,19.872354
4,22.321143
5,22.452914
6,18.890471
7,22.370441
8,33.852878
9,18.600455
10,25.405592
11,22.000313
12,20.524179
13,18.300509
14,20.208401
15,26.919027
16,17.426880
17,24.608873
18,19.235433
19,21.611182
20,25.681330
21,36.785733
22,23.493658
23,9.527898
24,14.224499
25,8.486408
26,16.989483
27,20.173904
28,23.733063
29,15.418732
30,37.003622
31,18.999007
32,18.480082
33,18.743091
34,26.626233
35,20.096843
36,30.606415
37,30.646892
38,39.052313
39,25.211051
40,19.193165
41,31.323172
42,24.674537
43,17.712952
44,21.462201
45,26.358154
46,20.180063
47,24.219633
48,14.823091
49,13.790154
50,19.696946
51,34.187953
52,24.658667
53,-4.144350
54,12.813037
55,16.515482
56,20.387133
57,12.708521
58,10.643879
59,18.423937
60,19.993679
61,20.506285
62,32.653424
63,24.318615
64,35.875796
65,32.698862
66,15.688370
67,21.662547
68,25.338510
69,16.633699
70,19.635321
71,16.644356
72,28.563119
73,14.163061
74,20.777200
75,17.010185
76,20.092519
77,31.961843
78,17.098731
79,33.310226
80,32.661773
81,42.070547
82,28.367876
83,30.241565
84,18.097823
85,32.783754
86,16.759143
87,28.594219
88,16.099329
89,19.156320
90,15.464789
91,20.283722
92,14.593232
93,22.849376
94,20.105823
95,24.747277
96,35.883149
97,3.758935
98,14.260748
99,27.623322
100,24.374882
101,16.510269
102,27.582546
103,35.846135
104,11.147604
