ID,MEDV
0,23.753456
1,24.975393
2,15.902796
3,19.872852
4,22.319370
5,22.452057
6,18.891085
7,22.367656
8,33.849597
9,18.597475
10,25.404687
11,22.002566
12,20.524881
13,18.299105
14,20.209896
15,26.916102
16,17.427505
17,24.608798
18,19.236318
19,21.610365
20,25.679408
21,36.784156
22,23.494170
23,9.526408
24,14.225506
25,8.482442
26,16.988858
27,20.174288
28,23.732895
29,15.422629
30,37.003327
31,18.999741
32,18.479445
33,18.741119
34,26.620961
35,20.097113
36,30.607465
37,30.646280
38,39.049692
39,25.212208
40,19.190927
41,31.320050
42,24.674991
43,17.712299
44,21.462273
45,26.359169
46,20.177809
47,24.219016
48,14.823397
49,13.790693
50,19.697007
51,34.183113
52,24.656889
53,-4.143098
54,12.813524
55,16.516516
56,20.387984
57,12.707605
58,10.643743
59,18.423252
60,19.994571
61,20.499412
62,32.649477
63,24.317325
64,35.873771
65,32.696350
66,15.688104
67,21.655796
68,25.337841
69,16.631791
70,19.633528
71,16.642688
72,28.562130
73,14.159992
74,20.778296
75,17.007421
76,20.092506
77,31.960344
78,17.099716
79,33.306269
80,32.662765
81,42.064505
82,28.365687
83,30.240139
84,18.098530
85,32.781873
86,16.757809
87,28.592879
88,16.098569
89,19.157108
90,15.464683
91,20.284559
92,14.591892
93,22.848897
94,20.105106
95,24.747087
96,35.882469
97,3.765069
98,14.261703
99,27.620359
100,24.375268
101,16.508382
102,27.580963
103,35.843543
104,11.143720
